trace_id,label,source,hg_score,hg_passed,base_score,base_flawed,hg_error,base_error
PMC10073084,sound,rationale,0.9388,False,0.78,True,,
PMC10073084,flawed,injected_hard,0.751,False,0.78,True,,
PMC10112701,sound,rationale,0.9985,False,0.93,True,,
PMC10112701,flawed,injected_hard,0.5987,False,0.93,True,,
PMC10113930,sound,rationale,0.9868,False,0.62,True,,
PMC10113930,flawed,injected_hard,0.2602,False,0.62,True,,
PMC10189604,sound,rationale,0.9493,False,0.78,True,,
PMC10189604,flawed,injected_hard,0.5891,False,0.78,True,,
PMC10191493,sound,rationale,0.9984,False,0.74,True,,
PMC10191493,flawed,injected_hard,0.7999,False,0.78,True,,
PMC10225816,sound,rationale,0.9994,False,0.9,True,,
PMC10225816,flawed,injected_hard,0.9966,False,0.86,True,,
PMC10310937,sound,rationale,0.9877,False,0.9,True,,
PMC10310937,flawed,injected_hard,0.9933,False,0.84,True,,
PMC10338165,sound,rationale,0.9965,False,0.93,True,,
PMC10338165,flawed,injected_hard,0.9944,False,0.93,True,,
PMC10406452,sound,rationale,0.9985,False,0.93,True,,
PMC10406452,flawed,injected_hard,0.7521,False,0.84,True,,
PMC10407195,sound,rationale,0.9784,False,0.9,True,,
PMC10407195,flawed,injected_hard,0.9434,False,0.84,True,,
PMC10481824,sound,rationale,0.9967,False,0.78,True,,
PMC10481824,flawed,injected_hard,0.7919,False,0.78,True,,
PMC10499291,sound,rationale,0.9915,False,0.86,True,,
PMC10499291,flawed,injected_hard,0.9348,False,0.9,True,,
PMC10551103,sound,rationale,0.7449,False,0.74,True,,
PMC10551103,flawed,injected_hard,0.7479,False,0.78,True,,
PMC10577159,sound,rationale,0.9965,False,0.93,True,,
PMC10577159,flawed,injected_hard,0.5504,False,0.9,True,,
PMC10602372,sound,rationale,0.9949,False,0.9,True,,
PMC10602372,flawed,injected_hard,0.763,False,0.9,True,,
PMC10622404,sound,rationale,0.9838,False,0.9,True,,
PMC10622404,flawed,injected_hard,0.5938,False,0.9,True,,
PMC10626292,sound,rationale,0.9432,False,0.84,True,,
PMC10626292,flawed,injected_hard,0.555,False,0.78,True,,
PMC10714326,sound,rationale,0.5985,False,0.97,False,,
PMC10714326,flawed,injected_hard,0.2663,False,0.78,True,,
PMC10725598,sound,rationale,0.9455,False,0.93,True,,
PMC10725598,flawed,injected_hard,0.553,False,0.93,True,,
PMC10849070,sound,rationale,0.9981,False,0.9,True,,
PMC10849070,flawed,injected_hard,0.7478,False,0.86,True,,
PMC10873692,sound,rationale,0.9748,False,0.86,True,,
PMC10873692,flawed,injected_hard,0.3327,False,0.86,True,,
PMC10901261,sound,rationale,0.9878,False,0.93,True,,
PMC10901261,flawed,injected_hard,0.7951,False,0.93,True,,
PMC10971827,sound,rationale,0.9279,False,0.86,True,,
PMC10971827,flawed,injected_hard,0.5494,False,0.78,True,,
PMC10999549,sound,rationale,0.9889,False,0.93,True,,
PMC10999549,flawed,injected_hard,0.9966,False,0.93,True,,
PMC11018330,sound,rationale,0.9924,False,0.78,True,,
PMC11018330,flawed,injected_hard,0.7975,False,0.78,True,,
PMC11042575,sound,rationale,0.9982,False,0.78,True,,
PMC11042575,flawed,injected_hard,0.9404,False,0.84,True,,
PMC11077173,sound,rationale,0.9936,False,0.78,True,,
PMC11077173,flawed,injected_hard,0.553,False,0.78,True,,
PMC11079535,sound,rationale,0.9786,False,0.9,True,,
PMC11079535,flawed,injected_hard,0.7928,False,0.86,True,,
PMC11097741,sound,rationale,0.9937,False,0.84,True,,
PMC11097741,flawed,injected_hard,0.7963,False,0.9,True,,
PMC11126872,sound,rationale,0.937,False,0.93,True,,
PMC11126872,flawed,injected_hard,0.5497,False,0.78,True,,
PMC11133391,sound,rationale,0.9919,False,0.96,True,,
PMC11133391,flawed,injected_hard,0.3147,False,0.78,True,,
PMC11154768,sound,rationale,0.9938,False,0.93,True,,
PMC11154768,flawed,injected_hard,0.5877,False,0.78,True,,
PMC11202767,sound,rationale,0.9447,False,0.78,True,,
PMC11202767,flawed,injected_hard,0.9486,False,0.78,True,,
PMC11282747,sound,rationale,0.9405,False,0.86,True,,
PMC11282747,flawed,injected_hard,0.836,False,0.84,True,,
PMC11294736,sound,rationale,0.9385,False,0.9,True,,
PMC11294736,flawed,injected_hard,0.7949,False,0.93,True,,
PMC11333128,sound,rationale,0.9825,False,0.9,True,,
PMC11333128,flawed,injected_hard,0.4012,False,0.78,True,,
PMC11337001,sound,rationale,0.9931,False,0.78,True,,
PMC11337001,flawed,injected_hard,0.7484,False,0.78,True,,
PMC11387283,sound,rationale,0.9979,False,0.93,True,,
PMC11387283,flawed,injected_hard,0.992,False,0.84,True,,
PMC11424769,sound,rationale,0.9469,False,0.9,True,,
PMC11424769,flawed,injected_hard,0.5523,False,0.78,True,,
PMC11447760,sound,rationale,0.9788,False,0.96,True,,
PMC11447760,flawed,injected_hard,0.9471,False,0.9,True,,
PMC11452241,sound,rationale,0.9989,False,0.9,True,,
PMC11452241,flawed,injected_hard,0.7539,False,0.84,True,,
PMC11535749,sound,rationale,0.9957,False,0.84,True,,
PMC11535749,flawed,injected_hard,0.7423,False,0.86,True,,
PMC11552163,sound,rationale,0.9436,False,0.72,True,,
PMC11552163,flawed,injected_hard,0.7951,False,0.62,True,,
PMC11573733,sound,rationale,0.9875,False,0.93,True,,
PMC11573733,flawed,injected_hard,0.8033,False,0.93,True,,
