trace_id,label,source,hg_score,hg_passed,base_score,base_flawed,hg_error,base_error
PMC10011048,flawed,rationale_wrong,0.9961,False,0.97,True,,
PMC10199808,flawed,rationale_wrong,0.932,False,0.78,True,,
PMC10216786,flawed,rationale_wrong,0.796,False,0.93,True,,
PMC10308979,flawed,rationale_wrong,0.9491,False,0.74,True,,
PMC10689293,flawed,rationale_wrong,0.9859,False,0.86,True,,
PMC10962068,flawed,rationale_wrong,0.7483,False,0.78,True,,
PMC10962233,flawed,rationale_wrong,0.9957,False,0.78,True,,
PMC11102672,flawed,rationale_wrong,0.9895,False,0.9,True,,
PMC11481506,flawed,rationale_wrong,0.9405,False,0.78,True,,
PMC11536889,flawed,rationale_wrong,0.9347,False,0.9,True,,
PMC11607135,flawed,rationale_wrong,0.9256,False,0.84,True,,
PMC11625114,flawed,rationale_wrong,0.9941,False,0.9,True,,
PMC11639004,flawed,rationale_wrong,0.9938,False,0.86,True,,
PMC11832257,flawed,rationale_wrong,0.9947,False,0.78,True,,
PMC2430707,flawed,rationale_wrong,0.9964,False,0.72,True,,
PMC3253064,flawed,rationale_wrong,0.996,False,0.78,True,,
PMC3287964,flawed,rationale_wrong,0.976,False,0.78,True,,
PMC3483658,flawed,rationale_wrong,0.998,False,0.78,True,,
PMC3564269,flawed,rationale_wrong,0.9356,False,0.78,True,,
PMC3800618,flawed,rationale_wrong,0.9476,False,0.93,True,,
PMC3863494,flawed,rationale_wrong,0.9949,False,0.98,False,,
PMC4100269,flawed,rationale_wrong,0.9948,False,0.78,True,,
PMC4389205,flawed,rationale_wrong,0.9378,False,0.74,True,,
PMC4434215,flawed,rationale_wrong,0.993,False,0.93,True,,
PMC4754484,flawed,rationale_wrong,0.9805,False,0.78,True,,
PMC4769612,flawed,rationale_wrong,1.0,True,0.97,True,,
PMC4855788,flawed,rationale_wrong,0.9943,False,0.86,True,,
PMC4949503,flawed,rationale_wrong,0.986,False,0.86,True,,
PMC5128393,flawed,rationale_wrong,0.9435,False,0.42,True,,
PMC5412606,flawed,rationale_wrong,0.9977,False,0.78,True,,
PMC5572152,flawed,rationale_wrong,0.9915,False,0.9,True,,
PMC5651110,flawed,rationale_wrong,0.9763,False,0.84,True,,
PMC5870216,flawed,rationale_wrong,0.9983,False,0.93,True,,
PMC5896219,flawed,rationale_wrong,0.9937,False,0.9,True,,
PMC6158818,flawed,rationale_wrong,0.9899,False,0.74,True,,
PMC6288932,flawed,rationale_wrong,0.9791,False,0.78,True,,
PMC6360821,flawed,rationale_wrong,0.9935,False,0.9,True,,
PMC6402948,flawed,rationale_wrong,0.942,False,0.86,True,,
PMC6959157,flawed,rationale_wrong,0.939,False,0.9,False,,
PMC7372148,flawed,rationale_wrong,0.95,False,0.78,True,,
PMC7986947,flawed,rationale_wrong,0.991,False,0.86,True,,
PMC8110420,flawed,rationale_wrong,0.946,False,0.78,True,,
PMC8365578,flawed,rationale_wrong,0.9876,False,0.9,True,,
PMC8437670,flawed,rationale_wrong,0.9818,False,0.84,True,,
PMC8544292,flawed,rationale_wrong,0.8829,False,0.86,True,,
PMC8666636,flawed,rationale_wrong,1.0,True,0.84,True,,
PMC8968015,flawed,rationale_wrong,0.9934,False,0.78,True,,
PMC9006327,flawed,rationale_wrong,0.9455,False,0.84,True,,
PMC9006328,flawed,rationale_wrong,0.9971,False,0.78,True,,
PMC9022340,flawed,rationale_wrong,0.9361,False,0.62,True,,
PMC9069601,flawed,rationale_wrong,0.9409,False,0.78,True,,
PMC9234622,flawed,rationale_wrong,0.9929,False,0.78,True,,
PMC9254170,flawed,rationale_wrong,0.9843,False,0.62,True,,
PMC9361806,flawed,rationale_wrong,0.9318,False,0.86,True,,
PMC9389568,flawed,rationale_wrong,0.9983,False,0.78,True,,
PMC9523897,flawed,rationale_wrong,0.9447,False,0.72,True,,
PMC9540301,flawed,rationale_wrong,0.9867,False,0.78,True,,
PMC9610036,flawed,rationale_wrong,0.9449,False,0.78,True,,
PMC9679462,flawed,rationale_wrong,0.8987,False,0.78,True,,
PMC9721246,flawed,rationale_wrong,0.9904,False,0.78,True,,
PMC9789769,flawed,rationale_wrong,0.9926,False,0.93,True,,
PMC9949802,flawed,rationale_wrong,0.9837,False,0.84,True,,
