trace_id,y,agreement,coverage,blind,plausibility
PMC10406452,0,1.0,1.0,1.0,1.0
PMC10191493,0,0.0,0.8824,1.0,0.5529
PMC10113930,0,0.625,0.5625,1.0,0.675
PMC10310937,0,0.0,0.9444,1.0,0.5778
PMC10073084,0,0.0,0.4,0.0,0.16
PMC10481824,0,1.0,0.65,1.0,0.86
PMC10626292,0,1.0,0.5789,1.0,0.8316
PMC10551103,0,0.0,0.625,0.0,0.25
PMC10602372,0,1.0,0.9412,1.0,0.9765
PMC10873692,0,1.0,0.875,1.0,0.95
PMC10971827,0,1.0,0.8485,1.0,0.9394
PMC10725598,0,0.25,0.84,1.0,0.636
PMC11018330,0,0.625,0.6667,1.0,0.7167
PMC11133391,0,1.0,0.85,1.0,0.94
PMC11097741,0,1.0,0.75,1.0,0.9
PMC11077173,0,0.375,0.7368,1.0,0.6447
PMC11294736,0,1.0,0.7143,1.0,0.8857
PMC11337001,0,1.0,0.8333,1.0,0.9333
PMC11202767,0,1.0,0.7778,1.0,0.9111
PMC11424769,0,1.0,0.8182,1.0,0.9273
PMC11602436,0,1.0,0.7143,1.0,0.8857
PMC11452241,0,1.0,0.72,1.0,0.888
PMC11552163,0,1.0,0.9333,1.0,0.9733
PMC11654271,0,1.0,0.8947,1.0,0.9579
PMC11821356,0,1.0,0.6842,1.0,0.8737
PMC12010641,0,1.0,0.9545,1.0,0.9818
PMC2396655,0,1.0,0.7895,1.0,0.9158
PMC2934912,0,1.0,0.8182,1.0,0.9273
PMC3271452,0,1.0,0.963,1.0,0.9852
PMC1948010,0,0.375,0.9167,1.0,0.7167
PMC3170347,0,1.0,0.9474,1.0,0.9789
PMC3459730,0,1.0,0.875,1.0,0.95
PMC3543206,0,1.0,0.8947,1.0,0.9579
PMC3884960,0,1.0,0.9643,1.0,0.9857
PMC3657244,0,1.0,0.9412,1.0,0.9765
PMC3423660,0,0.0,0.35,0.0,0.14
PMC4147826,0,1.0,0.875,1.0,0.95
PMC4054582,0,1.0,1.0,1.0,1.0
PMC4020529,0,1.0,1.0,1.0,1.0
PMC3934446,0,1.0,0.8235,1.0,0.9294
PMC3961933,0,1.0,0.9,1.0,0.96
PMC4323579,0,1.0,1.0,1.0,1.0
PMC4506815,0,1.0,0.5714,1.0,0.8286
PMC4280803,0,0.0,0.5625,0.0,0.225
PMC4501462,0,0.875,0.5625,1.0,0.775
PMC4446922,0,0.75,0.9,1.0,0.86
PMC4707795,0,1.0,1.0,1.0,1.0
PMC4929803,0,0.5,0.84,1.0,0.736
PMC5340649,0,1.0,0.9524,1.0,0.981
PMC5237164,0,1.0,0.7895,1.0,0.9158
PMC4664794,0,0.0,0.7222,0.0,0.2889
PMC5731179,0,1.0,0.6667,1.0,0.8667
PMC5484965,0,1.0,0.9545,1.0,0.9818
PMC6101595,0,1.0,0.9231,1.0,0.9692
PMC5807253,0,1.0,0.7647,1.0,0.9059
PMC5977048,0,1.0,1.0,1.0,1.0
PMC6176474,0,1.0,0.8125,1.0,0.925
PMC6192136,0,1.0,0.8667,1.0,0.9467
PMC6335789,0,1.0,0.6429,1.0,0.8571
PMC6243317,0,1.0,0.9091,1.0,0.9636
PMC6421145,0,0.5,1.0,1.0,0.8
PMC6556260,0,1.0,0.7273,1.0,0.8909
PMC6656673,0,1.0,0.9048,1.0,0.9619
PMC6735545,0,1.0,0.7037,1.0,0.8815
PMC6815408,0,1.0,0.7059,1.0,0.8824
PMC6726168,0,0.5,0.913,1.0,0.7652
PMC7103037,0,1.0,1.0,1.0,1.0
PMC7036447,0,1.0,0.85,1.0,0.94
PMC7205540,0,0.0,0.5,0.0,0.2
PMC7362425,0,1.0,0.9048,1.0,0.9619
PMC7546059,0,1.0,0.8462,1.0,0.9385
PMC7463383,0,0.875,0.8235,1.0,0.8794
PMC7813055,0,1.0,0.92,1.0,0.968
PMC7850611,0,0.0,0.8,0.0,0.32
PMC7676809,0,0.5,0.8947,1.0,0.7579
PMC7924145,0,1.0,0.7895,1.0,0.9158
PMC7954390,0,1.0,0.8889,1.0,0.9556
PMC7993351,0,1.0,1.0,1.0,1.0
PMC8046473,0,1.0,1.0,1.0,1.0
PMC8186929,0,1.0,0.9167,1.0,0.9667
PMC8123563,0,1.0,0.7647,1.0,0.9059
PMC8243071,0,0.0,0.7,1.0,0.48
PMC8294152,0,1.0,0.8889,1.0,0.9556
PMC8420661,0,1.0,0.9231,1.0,0.9692
PMC8461971,0,1.0,0.8,1.0,0.92
PMC8367851,0,1.0,0.875,1.0,0.95
PMC8627342,0,1.0,0.9545,1.0,0.9818
PMC8557694,0,1.0,0.7059,1.0,0.8824
PMC10011048,1,1.0,0.9474,1.0,0.9789
PMC8832220,0,1.0,0.4167,1.0,0.7667
PMC8777167,0,0.625,0.7143,1.0,0.7357
PMC10216786,1,1.0,0.8,1.0,0.92
PMC10199808,1,1.0,0.6818,1.0,0.8727
PMC11102672,1,1.0,0.7333,1.0,0.8933
PMC10308979,1,0.0,0.8,1.0,0.52
PMC10962233,1,0.0,0.875,1.0,0.55
PMC10962068,1,0.5,0.8667,1.0,0.7467
PMC10689293,1,0.25,0.875,0.0,0.45
PMC11607135,1,1.0,0.8421,1.0,0.9368
PMC11639004,1,1.0,0.4667,1.0,0.7867
PMC11625114,1,1.0,0.4167,1.0,0.7667
PMC11481506,1,0.375,0.7727,1.0,0.6591
PMC11536889,1,1.0,0.3125,1.0,0.725
PMC11832257,1,0.5,0.8889,1.0,0.7556
PMC2430707,1,1.0,0.5455,1.0,0.8182
PMC3253064,1,0.5,0.3333,1.0,0.5333
PMC3287964,1,1.0,0.8889,1.0,0.9556
PMC3483658,1,0.5,0.7,1.0,0.68
PMC3564269,1,1.0,0.7931,1.0,0.9172
PMC3863494,1,1.0,0.8462,1.0,0.9385
PMC3800618,1,0.25,1.0,1.0,0.7
PMC4100269,1,1.0,0.7895,1.0,0.9158
PMC4769612,1,1.0,0.9545,1.0,0.9818
PMC4855788,1,1.0,0.8333,1.0,0.9333
PMC4754484,1,0.0,0.7333,1.0,0.4933
PMC4434215,1,1.0,0.85,1.0,0.94
PMC4389205,1,0.0,0.4706,1.0,0.3882
PMC4949503,1,0.5,0.8889,1.0,0.7556
PMC5128393,1,0.0,0.5385,0.0,0.2154
PMC5572152,1,0.0,0.875,1.0,0.55
PMC5651110,1,0.5,0.6,1.0,0.64
PMC5412606,1,0.375,0.5385,0.0,0.3654
PMC5870216,1,0.125,0.9091,0.0,0.4136
PMC6288932,1,0.5,0.6,1.0,0.64
PMC6158818,1,0.0,0.2,0.0,0.08
PMC5896219,1,1.0,0.7727,1.0,0.9091
PMC6360821,1,0.0,0.8667,1.0,0.5467
PMC6402948,1,0.5,0.9375,1.0,0.775
PMC7372148,1,0.0,0.5,0.0,0.2
PMC7986947,1,1.0,0.8421,1.0,0.9368
PMC8110420,1,1.0,0.8947,1.0,0.9579
PMC8437670,1,1.0,0.7692,1.0,0.9077
PMC6959157,1,0.75,0.6842,1.0,0.7737
PMC8365578,1,0.5,0.8636,1.0,0.7455
PMC8666636,1,0.5,0.8889,1.0,0.7556
PMC9006327,1,1.0,0.8462,1.0,0.9385
PMC8544292,1,0.25,0.5833,1.0,0.5333
PMC8968015,1,0.375,0.9375,1.0,0.725
PMC9006328,1,1.0,1.0,1.0,1.0
PMC9069601,1,0.5,1.0,1.0,0.8
PMC9234622,1,1.0,0.8,1.0,0.92
PMC9254170,1,0.0,0.3077,1.0,0.3231
PMC9022340,1,0.125,0.64,0.0,0.306
PMC9361806,1,0.0,0.6471,0.0,0.2588
PMC9389568,1,0.75,0.7222,1.0,0.7889
PMC9540301,1,0.0,0.7143,1.0,0.4857
PMC9523897,1,0.0,0.4667,1.0,0.3867
PMC9610036,1,0.0,0.7222,0.0,0.2889
PMC9721246,1,1.0,0.9333,1.0,0.9733
PMC9679462,1,0.0,0.7059,1.0,0.4824
PMC9789769,1,0.25,0.4706,0.0,0.2882
PMC9949802,1,0.5,0.8824,1.0,0.7529
