trace_id,y,agreement,coverage,blind,plausibility
PMC10113930,0,1.0,0.4,1.0,0.76
PMC10406452,0,1.0,0.8571,1.0,0.9429
PMC10191493,0,0.0,0.8,1.0,0.52
PMC10310937,0,0.0,0.9,1.0,0.56
PMC10481824,0,1.0,0.6,1.0,0.84
PMC10073084,0,0.0,0.5,0.0,0.2
PMC10602372,0,1.0,0.8,1.0,0.92
PMC10551103,0,0.625,0.25,1.0,0.55
PMC10626292,0,0.625,0.6154,1.0,0.6962
PMC10971827,0,1.0,0.8667,1.0,0.9467
PMC10725598,0,0.25,0.9,1.0,0.66
PMC10873692,0,0.875,0.7273,1.0,0.8409
PMC11133391,0,1.0,0.9091,1.0,0.9636
PMC11097741,0,1.0,0.9167,1.0,0.9667
PMC11018330,0,0.25,0.6,0.0,0.34
PMC11077173,0,0.5,0.7273,1.0,0.6909
PMC11294736,0,1.0,0.8,1.0,0.92
PMC11424769,0,1.0,0.8,1.0,0.92
PMC11452241,0,1.0,0.75,1.0,0.9
PMC11337001,0,1.0,0.8889,1.0,0.9556
PMC11202767,0,0.75,0.8,0.0,0.62
PMC11654271,0,1.0,0.6364,1.0,0.8545
PMC11552163,0,1.0,0.8889,1.0,0.9556
PMC12010641,0,1.0,0.9091,1.0,0.9636
PMC11821356,0,1.0,0.5714,1.0,0.8286
PMC11602436,0,0.75,0.625,1.0,0.75
PMC1948010,0,0.75,0.7143,1.0,0.7857
PMC2396655,0,1.0,1.0,1.0,1.0
PMC3271452,0,1.0,0.7333,1.0,0.8933
PMC2934912,0,0.75,0.7143,1.0,0.7857
PMC3459730,0,1.0,0.875,1.0,0.95
PMC3657244,0,1.0,0.625,1.0,0.85
PMC3543206,0,1.0,0.8947,1.0,0.9579
PMC3884960,0,1.0,0.8667,1.0,0.9467
PMC3170347,0,1.0,1.0,1.0,1.0
PMC3934446,0,1.0,0.8,1.0,0.92
PMC3961933,0,0.5,1.0,0.0,0.6
PMC4054582,0,1.0,0.9167,1.0,0.9667
PMC4147826,0,1.0,0.875,1.0,0.95
PMC4020529,0,1.0,0.9091,1.0,0.9636
PMC4501462,0,1.0,0.8462,1.0,0.9385
PMC3423660,0,0.25,0.2941,0.0,0.2176
PMC4446922,0,0.5,0.8333,1.0,0.7333
PMC4323579,0,0.625,0.9,1.0,0.81
PMC4280803,0,0.25,0.5,0.0,0.3
PMC4506815,0,1.0,0.7692,1.0,0.9077
PMC4707795,0,1.0,1.0,1.0,1.0
PMC4664794,0,0.5,0.8,0.0,0.52
PMC4929803,0,0.25,0.5882,0.0,0.3353
PMC5340649,0,0.625,0.9231,1.0,0.8192
PMC5731179,0,1.0,0.7778,1.0,0.9111
PMC5237164,0,0.125,0.8,1.0,0.57
PMC5484965,0,0.25,0.8125,1.0,0.625
PMC5807253,0,1.0,0.7,1.0,0.88
PMC6176474,0,1.0,0.75,1.0,0.9
PMC5977048,0,1.0,1.0,1.0,1.0
PMC6101595,0,1.0,0.8571,1.0,0.9429
PMC6335789,0,1.0,0.625,1.0,0.85
PMC6192136,0,1.0,0.9231,1.0,0.9692
PMC6243317,0,1.0,1.0,1.0,1.0
PMC6556260,0,1.0,0.5556,1.0,0.8222
PMC6815408,0,1.0,1.0,1.0,1.0
PMC6735545,0,1.0,0.8333,1.0,0.9333
PMC6726168,0,0.25,0.8571,1.0,0.6429
PMC6421145,0,1.0,0.8,1.0,0.92
PMC6656673,0,1.0,0.8889,1.0,0.9556
PMC7103037,0,1.0,0.875,1.0,0.95
PMC7205540,0,0.25,0.625,1.0,0.55
PMC7036447,0,0.75,0.6667,1.0,0.7667
PMC7546059,0,1.0,1.0,1.0,1.0
PMC7362425,0,1.0,0.4615,1.0,0.7846
PMC7813055,0,1.0,0.7692,1.0,0.9077
PMC7463383,0,0.875,0.75,1.0,0.85
PMC7676809,0,0.0,0.5714,0.0,0.2286
PMC7924145,0,0.75,0.5,0.0,0.5
PMC7850611,0,1.0,0.8182,1.0,0.9273
PMC7954390,0,0.75,0.7273,1.0,0.7909
PMC8046473,0,1.0,1.0,1.0,1.0
PMC7993351,0,0.875,1.0,1.0,0.95
PMC8123563,0,0.5,0.625,1.0,0.65
PMC8186929,0,0.5,0.7778,1.0,0.7111
PMC8294152,0,1.0,0.9333,1.0,0.9733
PMC8461971,0,1.0,0.6,1.0,0.84
PMC8367851,0,0.875,0.6923,1.0,0.8269
PMC8420661,0,1.0,1.0,1.0,1.0
PMC8557694,0,0.875,0.5833,1.0,0.7833
PMC8627342,0,1.0,1.0,1.0,1.0
PMC8243071,0,0.0,0.375,1.0,0.35
PMC8777167,0,1.0,0.875,1.0,0.95
PMC8832220,0,1.0,0.8,1.0,0.92
PMC10216786,1,1.0,0.7,1.0,0.88
PMC10011048,1,0.375,0.9091,1.0,0.7136
PMC10308979,1,0.75,0.3333,1.0,0.6333
PMC10199808,1,1.0,0.6429,1.0,0.8571
PMC10689293,1,0.0,0.625,0.0,0.25
PMC10962233,1,0.0,0.75,1.0,0.5
PMC11102672,1,0.875,0.7273,1.0,0.8409
PMC10962068,1,0.625,0.7,0.0,0.53
PMC11607135,1,1.0,0.5556,1.0,0.8222
PMC11536889,1,1.0,0.6,1.0,0.84
PMC11481506,1,0.0,0.6,0.0,0.24
PMC11625114,1,1.0,0.8333,1.0,0.9333
PMC2430707,1,0.0,0.3333,0.0,0.1333
PMC11639004,1,0.5,0.75,0.0,0.5
PMC11832257,1,0.0,0.75,1.0,0.5
PMC3287964,1,1.0,0.6667,1.0,0.8667
PMC3253064,1,0.0,0.0,0.0,0.0
PMC3800618,1,1.0,1.0,1.0,1.0
PMC3483658,1,0.75,0.6,1.0,0.74
PMC3863494,1,0.75,1.0,0.0,0.7
PMC3564269,1,1.0,0.6364,1.0,0.8545
PMC4769612,1,1.0,0.8,1.0,0.92
PMC4434215,1,1.0,0.8333,1.0,0.9333
PMC4855788,1,1.0,1.0,1.0,1.0
PMC4100269,1,0.375,0.8667,0.0,0.4967
PMC4949503,1,0.125,0.5714,1.0,0.4786
PMC5128393,1,0.0,0.7778,0.0,0.3111
PMC4389205,1,1.0,0.6429,1.0,0.8571
PMC5412606,1,0.75,0.4444,0.0,0.4778
PMC4754484,1,0.0,0.625,0.0,0.25
PMC5572152,1,0.75,0.6923,0.0,0.5769
PMC5651110,1,0.25,0.8182,0.0,0.4273
PMC6158818,1,0.5,0.6,1.0,0.64
PMC5896219,1,1.0,0.8,1.0,0.92
PMC6288932,1,0.0,0.7,0.0,0.28
PMC5870216,1,0.625,1.0,1.0,0.85
PMC6360821,1,0.0,0.8,1.0,0.52
PMC6959157,1,0.0,0.7,1.0,0.48
PMC6402948,1,0.75,0.75,1.0,0.8
PMC7372148,1,0.0,0.5556,0.0,0.2222
PMC8544292,1,1.0,0.6,1.0,0.84
PMC7986947,1,0.75,0.8,1.0,0.82
PMC8110420,1,0.125,0.7143,1.0,0.5357
PMC8365578,1,0.0,0.7778,0.0,0.3111
PMC8437670,1,0.125,0.6364,0.0,0.3045
PMC8666636,1,0.25,1.0,0.0,0.5
PMC8968015,1,1.0,1.0,1.0,1.0
PMC9006328,1,1.0,1.0,1.0,1.0
PMC9006327,1,0.75,0.625,1.0,0.75
PMC9234622,1,1.0,0.9231,1.0,0.9692
PMC9022340,1,0.0,0.4545,0.0,0.1818
